ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
1,1014.9999999816,1.4417812653199,3.1520882619585,2380.8571572064,-14.524531892147,-21.791884330017
2,1014.9999999968,-2.4666148298851,2.251747830719,2381.5858458779,17.410459819268,-19.522630639027
3,1014.9999999867,1.6110864467707,0.7213883290116,2377.5075939461,-10.540739663777,-3.8322962127242
4,1014.9999999933,1.1588082052569,-1.160359763856,2377.363259461,-5.4660208482386,5.6676276830322
5,1014.9999999845,-0.10851062380784,-3.3910380566469,2378.9036181828,3.9728475026959,21.554179401446
6,1014.9999999984,3.1965866318232,-1.4957360608805,2380.8834946097,-23.881309985443,11.308136767333
7,1014.9999999853,-0.16184450973839,-1.0234990884979,2377.2415423422,2.2485719925973,5.5847741559337
8,1015,3.324125736895,0.41657808875928,2378.9858902402,-22.565785905602,-1.8210049680226
9,1014.9999999895,2.3275408356048,2.3860268369545,2379.0681025229,-17.630364744698,-13.552039524586
10,1014.9999999951,-3.1256445862849,1.6798570614147,2379.0938948559,17.732597791701,-11.438799879191
11,1014.9999999938,2.4418611500426,-2.9090661604411,2380.594231617,-14.93373928038,19.075486903931
12,1014.9999999994,2.4721961544884,1.6241104992295,2378.4794955967,-17.347698488711,-8.840128555229
13,1014.9999999977,-0.24075462089306,1.2787638833661,2377.2858723962,0.2134949578035,-6.8624329492504
14,1014.9999999888,-1.1599330982135,-2.652842029495,2378.2739416409,9.0044927883961,16.655912973135
15,1014.9999999872,-1.3123860108101,-1.1621564057471,2377.4440415698,8.4160293491287,7.2605453771309
16,1014.9999999896,1.3707839849301,2.4659892419838,2378.2559376454,-10.588941068233,-13.809677850416
17,1014.9999999961,0.18313616757557,2.333634716483,2377.8399702366,-3.4887962007621,-13.160343330477
18,1014.999999996,2.3905002572907,-0.21036084389809,2377.8995933848,-14.917598125469,1.2979258787563
19,1014.9999999898,-1.0833731155514,-3.0268315009618,2378.7494117992,9.2672937415644,19.47987502657
20,1014.9999999861,-2.0293387187161,2.2516913407122,2378.2814225634,9.7598666427003,-13.728904593761
21,1014.9999999996,0.3768177944145,-1.7194192955826,2377.4194462037,-0.30894524630869,9.3634892611228
22,1014.9999999984,2.7309599554776,0.66667790743372,2378.2505455529,-18.097128263919,-3.2429616010205
23,1014.9999999826,1.6524567922423,0.71509170616691,2377.5262705417,-10.803475569496,-3.7937439357272
24,1014.9999999894,-0.6220897182784,-1.6017417170692,2377.4279473604,5.0872134347871,9.4829108717067
25,1014.9999999975,-1.685765824778,3.089710002679,2379.053677737,7.1062982655488,-19.983186735681
26,1014.9999999851,-0.56288833740752,1.4185839139696,2377.3382381573,1.8605996029402,-7.5684961828873
27,1014.9999999921,0.63890313199544,-0.79438449679987,2377.248493403,-2.6255858748936,3.7610063914542
28,1014.9999999831,-1.9971465035102,0.7689558710328,2377.6104341127,11.025127279585,-4.0978637375567
29,1014.9999999998,2.4594407850785,0.48598421379907,2377.9353314232,-16.029527029918,-2.3606721124817
30,1014.9999999971,2.202080740944,-1.1004194594406,2377.8677742194,-12.449215603639,5.7283913128929
31,1014.9999999917,-1.6592629968547,2.1494689023951,2377.9396000665,7.5611742253318,-12.474510849905
32,1014.9999999982,1.4688147518313,0.84162661510517,2383.1940986221,-23.827504462697,-12.69266289355
33,1014.9999999911,-2.0586299373414,-0.059841327455132,2383.0282039695,26.683186783381,0.8512946331801
34,1014.9999999925,-0.68272216685903,0.0465405211985,2384.7311705717,-20.769466858217,4.8851487837293
35,1014.9999999877,-2.5411756901265,0.73867900382587,2382.481743773,25.5498596721,-7.2656732989492
36,1014.9999999915,3.3216464022968,1.1873059702582,2379.7785806852,-24.070267375855,-7.6431155456429
37,1014.9999999977,-0.51133583759343,-3.5680218880044,2380.1310448517,7.3455923103618,25.233005151532
38,1014.9999999979,-2.4545851598062,-1.5483076820707,2378.2102038776,14.876654704332,9.611161052442
39,1014.999999998,-0.16026118703461,-2.3503555419357,2377.7967310713,3.0422588295834,13.793570066309
40,1014.9999999877,-2.5938569363564,1.6076159982907,2382.0052384027,21.376615234139,-15.519876309583
41,1014.9999999951,-0.98016085443899,-2.0852866110282,2377.7920961253,7.3309761090304,12.778505352127
42,1014.9999999946,1.5313142080024,-0.48456563239931,2377.3879307597,-8.7501759146651,2.1472800807686
43,1014.99999999,0.036005833270924,2.7913351896844,2378.1734820507,-3.0843622230706,-16.396710532599
44,1014.9999999835,-2.2620591716759,-1.7517381299473,2382.1325739114,21.669240861217,17.439785699891
45,1014.9999999948,0.096657194010141,-2.9718434328436,2378.2848776617,2.1880032475856,17.933464289797
46,1014.9999999889,0.73359671638072,0.65816995079582,2377.2434245872,-4.7623642934841,-3.6538596712157
47,1014.9999999979,0.52618995105249,-3.1613199131454,2378.5506203751,-0.16768852920155,19.156766295673
48,1014.9999999852,-3.0597825778327,1.5194937364612,2378.8695833552,17.182099713764,-9.8926810994094
49,1014.999999995,-0.46890557435444,1.7812231354052,2377.4757052268,0.7472656974886,-9.6376162223213
50,1014.9999999912,-0.53780372270558,0.53560239170216,2377.1273104185,2.9571374254611,-2.7529347004037
51,1014.9999999835,-1.7815996298337,-2.7164015939779,2378.7960401685,12.801809589462,17.521591726082
52,1014.999999988,0.20871050267784,-2.722448832363,2378.0065632436,1.2930358046582,16.046869464675
53,1014.9999999876,-3.094510190133,1.804294477833,2379.1777595076,17.406867758895,-12.466145086172
54,1014.9999999923,-2.6476829914829,1.1961150403484,2378.1438314577,14.461566269879,-7.0444065549803
55,1014.9999999865,1.004967981698,-3.3954552045497,2379.0388143202,-3.177591191967,21.059758175809
56,1014.9999999969,-1.6880021078049,-1.2901179098429,2377.6564058986,10.417271231517,8.1963008008382
57,1014.9999999923,-2.1528761346057,-1.1402845104498,2377.8545906532,12.8068145846,7.1303833853639
58,1014.9999999855,0.71200923465731,-3.3647435481795,2378.8594751202,-1.2707215250301,20.801128323768
59,1014.9999999991,0.040271515391758,3.3747800232428,2381.1484635078,-4.1106330394045,-26.291706570809
60,1014.9999999832,-2.0802682962845,-2.0777466425801,2378.3049887793,13.349284876409,13.187468876013
61,1014.9999999904,-2.556154725429,0.038518357246296,2377.9243119132,14.668764362232,0.040975163362974
62,1014.999999987,0.28619940418069,-1.4509514204921,2377.3086176755,0.040158854391728,7.7748990462562
63,1014.9999999956,1.1292294046572,-3.199894033887,2378.7788303636,-3.8966597467977,19.220830142129
64,1014.9999999883,3.3832727452629,1.055943488837,2380.4036968629,-25.642891559918,-7.4899979228554
