PE (V):8000, 3rd Electrode (V):4000, x_width (mm):0, y_height (mm):0, 1st Solenoid wire current (A):5.848292590887, 2st Solenoid wire current (A):0.15890097727815
ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
1,1004.9481837093,-9.4650061353627,6.7157768194932,1231.7434226645,-30.775027255942,21.840175385431
2,1004.9110089851,14.750976327902,2.9529749719701,1231.8880370275,47.446272551904,9.493786502
3,1004.9122770713,-4.0548424359393,-1.2519763826608,1231.7749340226,-13.304461171201,-4.1062997737561
4,1004.9899035936,4.5864790362704,-11.856808378506,1231.763265261,14.869052647069,-38.448740384799
5,1004.9154460984,7.2021250703321,-9.7953440245321,1231.7525021464,23.38876339697,-31.81602274632
6,1004.9049703248,-16.753581555169,3.9701773940088,1232.5591274391,-52.522223266684,12.451614686777
7,1004.9973405955,-1.4874590754327,-17.159894945749,1232.8768539223,-4.6154671789433,-53.192061352341
8,1004.9098426203,-5.3870740536926,5.9228893842886,1231.7447821378,-17.61689828155,19.372654785303
9,1004.9348470363,-14.35588367431,4.0668086221641,1231.8746410093,-46.199147514065,13.092024745282
10,1004.9935042131,-5.0004686884128,-13.207989998589,1231.8165779848,-16.147138082305,-42.639289051052
11,1004.9618657132,8.1621328338345,-3.3800550816469,1231.7421487761,26.663756797144,-11.0446165977
12,1004.953080572,-4.7426447304489,0.69383745060449,1231.7708360191,-15.553186386678,2.2768962405616
13,1004.9163071864,-3.6714408117917,2.1002197578043,1231.7752197658,-12.045253541272,6.8922132153497
14,1004.9793716957,6.4482833971464,-10.493370475174,1231.7537876376,20.929174315635,-34.06491354322
15,1004.9943298512,-10.719637640252,-4.995824964485,1231.7467195928,-34.836025712722,-16.231488547817
16,1004.9791552792,-9.6525786554801,-9.0394349770211,1231.7770605215,-31.259574259304,-29.26884354973
17,1004.9333945162,-10.150125272781,-7.3241066487474,1231.7578386331,-32.937790571272,-23.762656621762
18,1004.9923436669,2.1340625835262,-12.988623995188,1231.7755695953,6.9080512872142,-42.067081677946
19,1004.9233255268,4.2912404269379,1.5167452770237,1231.773282045,14.077227368314,4.9743690322879
20,1004.9555522971,6.7374731657368,4.0369087168556,1231.7475750113,22.03810776164,13.202191532779
21,1004.9189854702,14.892799590185,5.9837990070636,1232.0223857313,47.607081537113,19.123062479987
