ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
1,1014.9999999897,0.21406670931629,0.50235583346986,2380.5772924759,-25.16783205701,-37.215400126053
2,1014.9999999956,-0.25278159680258,0.16214336236079,2381.3183759521,27.005298879867,-35.05573613663
3,1014.9999999847,0.45895004321198,0.14586503683907,2377.4539754089,-18.528444058358,-6.1191947203673
4,1014.9999999952,0.38909102588347,-0.37739690511231,2377.3270735287,-9.5788077450139,11.928903856235
5,1014.9999999827,0.097849132356248,-0.78521457335526,2378.6858905217,8.43675036834,38.013763770408
6,1014.9999999937,0.4985711133205,-0.15954773283923,2380.5971712887,-38.82341810954,23.542643993498
7,1014.9999999883,0.048616408420221,-0.31072260139171,2377.2247372712,4.0826450108629,9.9738139141986
8,1014.9999999839,0.75484775280896,0.11069170909252,2378.7769424318,-38.815573494931,0.078140588847398
9,1014.9999999845,0.55940782063741,0.50917650573957,2378.8559078007,-30.941350289941,-23.382188147683
10,1014.999999991,-0.66243377834213,0.35700399984607,2378.8786629955,30.717874447298,-22.929688973868
11,1014.9999999878,0.51906588101721,-0.58299873128485,2380.3140009398,-23.977752323884,36.68938141703
12,1014.9999999953,0.62265205122591,0.36576206982734,2378.3203618821,-30.416660990301,-14.521862718472
13,1014.9999999973,-0.013463451801398,0.3019979434739,2377.257360313,-0.042973934092192,-13.516606623545
14,1014.9999999818,-0.14543452097474,-0.65614622498848,2378.1158091255,17.985479741491,28.056420566686
15,1014.9999999927,-0.23786097157468,-0.30779860380259,2377.3891492849,16.026376739074,11.30061820923
16,1014.9999999818,0.36953184481148,0.58998182966988,2378.1105284709,-19.309035774561,-24.932174357301
17,1014.9999999978,0.073323975398054,0.5747888363162,2377.7426504928,-6.6462362545115,-24.576532750099
18,1014.9999999937,0.64122801937262,-0.081229098342499,2377.8032092236,-25.717978431083,4.6021041359583
19,1014.9999999841,-0.1151548960819,-0.71907162001044,2378.5500211862,18.287214408757,32.855546368536
20,1014.9999999866,-0.50802173898884,0.54083665487379,2378.1362097197,16.422764637687,-26.54662830697
21,1014.999999986,0.20643320755908,-0.50354121418279,2377.3726558546,-0.08882990691634,17.613656179375
22,1014.9999999986,0.68298570940235,0.14663630576633,2378.11091327,-31.43085386365,-3.7770221903479
23,1014.9999999958,0.46857891265159,0.14414945861405,2377.4705276707,-18.976495902629,-6.0047789987355
24,1014.9999999851,-0.044759638219048,-0.44102634351698,2377.3758232552,9.9715264400507,16.254658192678
25,1014.9999999986,-0.4228659448043,0.6825087652851,2378.8350111705,11.495151933455,-36.852134336577
