X,Y,Z,Bx,By,Bz
0.225626,0.00714018,-0.00547885,0.0226923,0.00147458,-0.00133189
0.225215,0.00779423,-0.0045,0.0228984,0.00175317,-0.000951147
0.226239,0.00479492,-0.00563341,0.0224558,0.00100617,-0.00158252
0.231,0.00779423,-0.0045,0.0200443,0.00101094,-0.00063863
0.225421,0.0074672,-0.00498943,0.0227763,0.00161689,-0.00109405
0.225727,0.00629457,-0.00506671,0.0227177,0.00138107,-0.00123036
0.225933,0.00596755,-0.00555613,0.0225972,0.00125435,-0.00149053
0.228313,0.0074672,-0.00498943,0.0213175,0.00124342,-0.000966991
0.228108,0.00779423,-0.0045,0.0214004,0.00135958,-0.000700522
0.22862,0.00629457,-0.00506671,0.0213042,0.00101938,-0.00105913
0.13875,0.0045,-0.00779423,0.117299,0.00427957,-0.00767039
0.133182,0.00547885,-0.00714018,0.126327,0.00484085,-0.00545636
0.13875,-0.00117474,-0.008923,0.117004,-0.000682021,-0.00641331
0.153145,-0.00143829,-0.00381875,0.0952712,-0.00103151,-0.00281076
0.135966,0.00498943,-0.0074672,0.121744,0.00482805,-0.00674548
0.135966,0.00215206,-0.00803159,0.121516,0.00180964,-0.00530649
0.13875,0.00166263,-0.00835862,0.117075,0.00186614,-0.00625277
0.145948,0.00153086,-0.00580649,0.105974,0.00160988,-0.00424645
0.143164,0.00202028,-0.00547947,0.110387,0.00207818,-0.00381496
0.145948,-0.00130651,-0.00637088,0.105995,-0.000910558,-0.00459409
0.13105,0.00636396,0.00636396,0.128316,0.00416329,0.00433159
0.136214,0.00507143,0.00501841,0.120734,0.00367248,0.00357504
0.131013,0.00547885,0.00714018,0.128406,0.00374655,0.00490861
0.131351,0.00555691,0.00252282,0.127911,0.00381033,0.00177637
0.133632,0.00571769,0.00569119,0.124588,0.00374808,0.00402838
0.133614,0.00527514,0.0060793,0.12465,0.00380621,0.00426087
0.131032,0.00592141,0.00675207,0.128399,0.00389626,0.00463334
0.131201,0.00596043,0.00444339,0.128101,0.0039406,0.00294479
0.133783,0.00531417,0.00377062,0.124283,0.00377971,0.00260004
0.131182,0.00551788,0.0048315,0.12818,0.00377038,0.00323765
0.141156,0.00547885,0.00714018,0.113423,0.00431043,0.00551466
0.134028,0.0045,0.00779423,0.124166,0.00315416,0.00545991
0.131013,0.00547885,0.00714018,0.128406,0.00374655,0.00490861
0.136214,0.00507143,0.00501841,0.120734,0.00367248,0.00357504
0.137592,0.00498943,0.0074672,0.118826,0.0036327,0.00559379
0.13252,0.00498943,0.0074672,0.126376,0.0036595,0.00516007
0.136085,0.00547885,0.00714018,0.121039,0.00405751,0.00523788
0.138685,0.00527514,0.0060793,0.117114,0.0038568,0.00454458
0.135121,0.00478571,0.00640632,0.122419,0.00337577,0.00455315
0.133614,0.00527514,0.0060793,0.12465,0.00380621,0.00426087
0.141156,0.00547885,0.00714018,0.113423,0.00431043,0.00551466
0.136214,0.00507143,0.00501841,0.120734,0.00367248,0.00357504
0.141286,0.00507143,0.00501841,0.113152,0.00376323,0.00377536
0.134028,0.0045,0.00779423,0.124166,0.00315416,0.00545991
0.138685,0.00527514,0.0060793,0.117114,0.0038568,0.00454458
0.13875,0.00507143,0.00501841,0.116945,0.00373181,0.00367902
0.141221,0.00527514,0.0060793,0.113284,0.0040362,0.00467867
0.137592,0.00498943,0.0074672,0.118826,0.0036327,0.00559379
0.135121,0.00478571,0.00640632,0.122419,0.00337577,0.00455315
0.137657,0.00478571,0.00640632,0.118656,0.00358989,0.00475954
0.123377,-0.00714018,-0.00547885,0.138836,-0.00546887,-0.00287609
0.117605,-0.00636396,-0.00636396,0.14498,-0.00431723,-0.00292272
0.12124,-0.00735743,-0.00264522,0.141307,-0.00449705,-0.0013234
0.115929,-0.00507143,-0.00512445,0.146697,-0.00263031,-0.00258101
0.120491,-0.00675207,-0.00592141,0.14203,-0.00455293,-0.00301784
0.119423,-0.00686069,-0.00450459,0.143259,-0.00396575,-0.0023084
0.122308,-0.0072488,-0.00406204,0.140113,-0.005067,-0.00220241
0.119653,-0.0061058,-0.00530165,0.14285,-0.00383929,-0.002589
0.116767,-0.00571769,-0.0057442,0.14577,-0.00340042,-0.00277178
0.118584,-0.00621443,-0.00388483,0.144066,-0.00342559,-0.00190328
0.18413,0.009,0,0.0533795,0.00483404,-0.000578072
0.184088,0.00720413,0.00289252,0.0534802,0.00395838,0.00127859
0.177067,0.008923,0.00117474,0.0615747,0.00552163,0.000736321
0.176786,0,-0.00512445,0.0617567,-0.000195071,-0.00294536
0.184109,0.00810206,0.00144626,0.0534604,0.00421853,0.000151811
0.180578,0.00806357,0.00203363,0.0574313,0.00462233,0.00112673
0.180599,0.0089615,0.000587368,0.0575097,0.00515658,-6.99358E-06
0.180458,0.0045,-0.00256222,0.0579535,0.00258046,-0.00143733
0.180437,0.00360206,-0.00111596,0.0579442,0.00200524,-0.000681768
0.176926,0.0044615,-0.00197486,0.0620617,0.00260304,-0.000919811
0.0497733,0.009,0,0.149399,-0.00488048,-9.80401E-05
0.05,0.00507143,-0.00512445,0.149868,-0.00252141,0.00211421
0.05,-0.00507143,-0.00512445,0.149719,0.00286703,0.00201711
0.0474643,0.00760714,0.0024827,0.146826,-0.00408504,-0.00141285
0.0498866,0.00703571,-0.00256222,0.149567,-0.00389323,0.001211
0.05,0,-0.00512445,0.149674,0.000197764,0.00228398
0.0498866,0.00196429,-0.00256222,0.149395,-0.000896091,0.00107078
0.0486188,0.00830357,0.00124135,0.148132,-0.00449175,-0.000746488
0.0487321,0.00633929,-0.00132088,0.148213,-0.00337312,0.000492667
0.0487321,0.00126786,-0.00132088,0.148122,-0.000520513,0.000468929
0.00707816,0.0045,-0.00779423,0.0904875,-0.00394721,0.00694025
-0.0186171,0.00547885,-0.00714018,0.0558973,-0.00276784,0.00298066
-0.018208,0.0045,-0.00779423,0.0563442,-0.00242258,0.00439095
0.00182142,0.00253571,-0.00766016,0.0828357,-0.0014034,0.00587859
-0.00576949,0.00498943,-0.0074672,0.0727274,-0.00331991,0.00528903
-0.0184126,0.00498943,-0.0074672,0.0561634,-0.0026904,0.00399399
-0.00556491,0.0045,-0.00779423,0.0729863,-0.00277976,0.00532328
0.00444979,0.00351786,-0.0077272,0.0864533,-0.0022657,0.00638177
-0.00839786,0.00400728,-0.00740017,0.0692152,-0.00256714,0.005436
-0.00819328,0.00351786,-0.0077272,0.0694857,-0.00197147,0.00564719
0.141156,0.00547885,0.00714018,0.113423,0.00431043,0.00551466
0.144171,0.0045,0.00779423,0.108767,0.0033644,0.00598946
0.141286,0.00507143,0.00501841,0.113152,0.00376323,0.00377536
0.145065,0.00551443,0.00460067,0.10741,0.00405367,0.00346519
0.142663,0.00498943,0.0074672,0.111098,0.00392146,0.00576315
0.142728,0.00478571,0.00640632,0.110968,0.00358044,0.00491436
0.141221,0.00527514,0.0060793,0.113284,0.0040362,0.00467867
0.14311,0.00549664,0.00587042,0.110383,0.00411781,0.00450952
0.144618,0.00500722,0.00619745,0.108093,0.00369967,0.00472786
0.143175,0.00529293,0.00480954,0.110298,0.00389738,0.00362922
0.123377,-0.00714018,-0.00547885,0.138836,-0.00546887,-0.00287609
0.12124,-0.00735743,-0.00264522,0.141307,-0.00449705,-0.0013234
0.122677,-0.00636396,-0.00636396,0.139644,-0.00476114,-0.00294173
0.115929,-0.00507143,-0.00512445,0.146697,-0.00263031,-0.00258101
0.122308,-0.0072488,-0.00406204,0.140113,-0.005067,-0.00220241
0.121958,-0.00686069,-0.00450459,0.140442,-0.00474036,-0.00233633
0.123027,-0.00675207,-0.00592141,0.139258,-0.00505537,-0.0029788
0.119653,-0.0061058,-0.00530165,0.14285,-0.00383929,-0.002589
0.118584,-0.00621443,-0.00388483,0.144066,-0.00342559,-0.00190328
0.119303,-0.00571769,-0.0057442,0.143175,-0.00360728,-0.0026056
0.189464,-0.00760714,-0.00258873,0.0482821,-0.00385362,-0.00136431
0.197071,-0.00507143,0.00501841,0.0413492,-0.00161813,0.00214431
0.197071,-0.00507143,-0.00512445,0.0411632,-0.00230879,-0.00226497
0.202143,0.00507143,0.00501841,0.0377195,0.00197497,0.0021207
0.193268,-0.00633929,0.00121484,0.0446075,-0.00301422,0.000292152
0.197071,-0.00507143,-5.30183E-05,0.0413245,-0.00195534,-0.000293734
0.193268,-0.00633929,-0.00385659,0.0447131,-0.00314771,-0.0018682
0.195804,-0.00126786,0.00121484,0.042837,-0.000689569,0.000341505
0.199607,0,0.00501841,0.0395803,0.00022908,0.00213166
0.199607,0,-5.30183E-05,0.0394639,3.32645E-06,-9.7818E-06
0.197057,-0.00869333,0.00232937,0.0411132,-0.0029,-0.000150639
0.197071,-0.00507143,-0.00512445,0.0411632,-0.00230879,-0.00226497
0.197071,-0.00507143,0.00501841,0.0413492,-0.00161813,0.00214431
0.202143,0.00507143,0.00501841,0.0377195,0.00197497,0.0021207
0.197064,-0.00688238,-0.00139754,0.0413879,-0.00281284,-0.00110173
0.197071,-0.00507143,-5.30183E-05,0.0413245,-0.00195534,-0.000293734
0.197064,-0.00688238,0.00367389,0.0412279,-0.00191229,0.000733883
0.1996,-0.00181095,0.00367389,0.0395828,-0.000441923,0.00128862
0.199607,0,-5.30183E-05,0.0394639,3.32645E-06,-9.7818E-06
0.199607,0,0.00501841,0.0395803,0.00022908,0.00213166
0.151299,0.00547885,0.00714018,0.0979301,0.00395119,0.0054057
0.144171,0.0045,0.00779423,0.108767,0.0033644,0.00598946
0.141156,0.00547885,0.00714018,0.113423,0.00431043,0.00551466
0.145065,0.00551443,0.00460067,0.10741,0.00405367,0.00346519
0.147735,0.00498943,0.0074672,0.103348,0.00368211,0.00571352
0.142663,0.00498943,0.0074672,0.111098,0.00392146,0.00576315
0.146228,0.00547885,0.00714018,0.105631,0.00406297,0.00550458
0.148182,0.00549664,0.00587042,0.102678,0.00398429,0.00444541
0.144618,0.00500722,0.00619745,0.108093,0.00369967,0.00472786
0.14311,0.00549664,0.00587042,0.110383,0.00411781,0.00450952
0.189464,-0.00760714,-0.00258873,0.0482821,-0.00385362,-0.00136431
0.197071,-0.00507143,-0.00512445,0.0411632,-0.00230879,-0.00226497
0.197071,-0.00507143,0.00501841,0.0413492,-0.00161813,0.00214431
0.197057,-0.00869333,0.00232937,0.0411132,-0.0029,-0.000150639
0.193268,-0.00633929,-0.00385659,0.0447131,-0.00314771,-0.0018682
0.197071,-0.00507143,-5.30183E-05,0.0413245,-0.00195534,-0.000293734
0.193268,-0.00633929,0.00121484,0.0446075,-0.00301422,0.000292152
0.193261,-0.00815024,-0.000129681,0.0444424,-0.00390637,-0.000692971
0.197064,-0.00688238,-0.00139754,0.0413879,-0.00281284,-0.00110173
0.197064,-0.00688238,0.00367389,0.0412279,-0.00191229,0.000733883
0.151299,0.00547885,0.00714018,0.0979301,0.00395119,0.0054057
0.145065,0.00551443,0.00460067,0.10741,0.00405367,0.00346519
