X,Y,Z,Bx,By,Bz
0.225626,0.00714018,-0.00547885,-0.0136162,-0.000884822,0.000799074
0.225215,0.00779423,-0.0045,-0.0137398,-0.00105187,0.000570633
0.226239,0.00479492,-0.00563341,-0.0134743,-0.000603558,0.000949074
0.231,0.00779423,-0.0045,-0.0120276,-0.000606988,0.000383649
0.225421,0.0074672,-0.00498943,-0.0136665,-0.000970157,0.0006564
0.225727,0.00629457,-0.00506671,-0.0136313,-0.000828546,0.000738025
0.225933,0.00596755,-0.00555613,-0.0135591,-0.000752563,0.000894083
0.228313,0.0074672,-0.00498943,-0.0127914,-0.000746194,0.000580355
0.228108,0.00779423,-0.0045,-0.0128411,-0.00081582,0.000420452
0.22862,0.00629457,-0.00506671,-0.0127833,-0.000611804,0.000635474
0.13875,0.0045,-0.00779423,-0.0703781,-0.00256776,0.00460274
0.133182,0.00547885,-0.00714018,-0.0757944,-0.00290447,0.00327396
0.13875,-0.00117474,-0.008923,-0.070201,0.000409185,0.00384809
0.153145,-0.00143829,-0.00381875,-0.0571614,0.000618895,0.0016867
0.135966,0.00498943,-0.0074672,-0.0730447,-0.00289685,0.00404767
0.135966,0.00215206,-0.00803159,-0.0729082,-0.00108582,0.00318401
0.13875,0.00166263,-0.00835862,-0.0702434,-0.00111979,0.0037518
0.145948,0.00153086,-0.00580649,-0.063583,-0.000965958,0.00254812
0.143164,0.00202028,-0.00547947,-0.0662306,-0.0012469,0.00228915
0.145948,-0.00130651,-0.00637088,-0.0635955,0.000546303,0.00275662
0.13105,0.00636396,0.00636396,-0.0769879,-0.00249796,-0.00259872
0.136214,0.00507143,0.00501841,-0.0724386,-0.00220348,-0.00214478
0.131013,0.00547885,0.00714018,-0.0770418,-0.00224793,-0.00294492
0.131351,0.00555691,0.00252282,-0.0767449,-0.00228618,-0.00106562
0.133632,0.00571769,0.00569119,-0.074751,-0.00224884,-0.00241679
0.133614,0.00527514,0.0060793,-0.074788,-0.00228372,-0.00255627
0.131032,0.00592141,0.00675207,-0.0770373,-0.00233775,-0.00277976
0.131201,0.00596043,0.00444339,-0.076859,-0.00236435,-0.00176666
0.133783,0.00531417,0.00377062,-0.074568,-0.00226781,-0.0015598
0.131182,0.00551788,0.0048315,-0.0769063,-0.00226222,-0.00194237
0.141156,0.00547885,0.00714018,-0.0680519,-0.00258625,-0.00330851
0.134028,0.0045,0.00779423,-0.0744978,-0.00189251,-0.00327568
0.131013,0.00547885,0.00714018,-0.0770418,-0.00224793,-0.00294492
0.136214,0.00507143,0.00501841,-0.0724386,-0.00220348,-0.00214478
0.137592,0.00498943,0.0074672,-0.071294,-0.00217962,-0.00335599
0.13252,0.00498943,0.0074672,-0.0758236,-0.0021957,-0.00309579
0.136085,0.00547885,0.00714018,-0.0726219,-0.0024345,-0.00314246
0.138685,0.00527514,0.0060793,-0.0702667,-0.00231407,-0.00272648
0.135121,0.00478571,0.00640632,-0.0734494,-0.00202547,-0.00273163
0.133614,0.00527514,0.0060793,-0.074788,-0.00228372,-0.00255627
0.141156,0.00547885,0.00714018,-0.0680519,-0.00258625,-0.00330851
0.136214,0.00507143,0.00501841,-0.0724386,-0.00220348,-0.00214478
0.141286,0.00507143,0.00501841,-0.0678894,-0.00225792,-0.00226495
0.134028,0.0045,0.00779423,-0.0744978,-0.00189251,-0.00327568
0.138685,0.00527514,0.0060793,-0.0702667,-0.00231407,-0.00272648
0.13875,0.00507143,0.00501841,-0.0701656,-0.00223908,-0.00220715
0.141221,0.00527514,0.0060793,-0.0679688,-0.00242171,-0.00280692
0.137592,0.00498943,0.0074672,-0.071294,-0.00217962,-0.00335599
0.135121,0.00478571,0.00640632,-0.0734494,-0.00202547,-0.00273163
0.137657,0.00478571,0.00640632,-0.0711921,-0.00215393,-0.00285546
0.123377,-0.00714018,-0.00547885,-0.0832997,0.0032812,0.00172579
0.117605,-0.00636396,-0.00636396,-0.0869858,0.00259023,0.00175374
0.12124,-0.00735743,-0.00264522,-0.0847823,0.00269811,0.000794192
0.115929,-0.00507143,-0.00512445,-0.0880159,0.00157811,0.00154871
0.120491,-0.00675207,-0.00592141,-0.0852162,0.00273165,0.00181083
0.119423,-0.00686069,-0.00450459,-0.0859532,0.00237935,0.00138517
0.122308,-0.0072488,-0.00406204,-0.0840659,0.00304008,0.00132159
0.119653,-0.0061058,-0.00530165,-0.085708,0.00230348,0.00155353
0.116767,-0.00571769,-0.0057442,-0.08746,0.00204016,0.00166318
0.118584,-0.00621443,-0.00388483,-0.0864373,0.00205526,0.0011421
0.18413,0.009,0,-0.0320272,-0.00290027,0.000346821
0.184088,0.00720413,0.00289252,-0.0320876,-0.00237492,-0.000767088
0.177067,0.008923,0.00117474,-0.0369441,-0.00331287,-0.00044173
0.176786,0,-0.00512445,-0.0370533,0.000117144,0.00176714
0.184109,0.00810206,0.00144626,-0.0320758,-0.00253099,-9.10709E-05
0.180578,0.00806357,0.00203363,-0.0344582,-0.00277327,-0.000675981
0.180599,0.0089615,0.000587368,-0.0345052,-0.00309381,4.22075E-06
0.180458,0.0045,-0.00256222,-0.0347715,-0.00154816,0.00086237
0.180437,0.00360206,-0.00111596,-0.0347659,-0.00120305,0.000409072
0.176926,0.0044615,-0.00197486,-0.0372363,-0.00156175,0.000551905
0.0497733,0.009,0,-0.0896378,0.00292806,5.88945E-05
0.05,0.00507143,-0.00512445,-0.0899189,0.00151268,-0.0012684
0.05,-0.00507143,-0.00512445,-0.0898297,-0.00172026,-0.00121014
0.0474643,0.00760714,0.0024827,-0.0880937,0.00245081,0.000847753
0.0498866,0.00703571,-0.00256222,-0.0897382,0.00233574,-0.000726502
0.05,0,-0.00512445,-0.0898026,-0.000118764,-0.00137026
0.0498866,0.00196429,-0.00256222,-0.0896352,0.000537523,-0.000642367
0.0486188,0.00830357,0.00124135,-0.0888774,0.00269483,0.00044795
0.0487321,0.00633929,-0.00132088,-0.0889261,0.00202368,-0.000295514
0.0487321,0.00126786,-0.00132088,-0.0888711,0.000312182,-0.000281269
0.00707816,0.0045,-0.00779423,-0.0542919,0.00236801,-0.00416386
-0.0186171,0.00547885,-0.00714018,-0.0335385,0.00166036,-0.00178813
-0.018208,0.0045,-0.00779423,-0.0338066,0.00145321,-0.00263429
0.00182142,0.00253571,-0.00766016,-0.0497009,0.000841773,-0.00352687
-0.00576949,0.00498943,-0.0074672,-0.0436362,0.00199162,-0.00317314
-0.0184126,0.00498943,-0.0074672,-0.0336981,0.0016139,-0.00239612
-0.00556491,0.0045,-0.00779423,-0.0437915,0.00166754,-0.00319369
0.00444979,0.00351786,-0.0077272,-0.0518714,0.00135914,-0.00382878
-0.00839786,0.00400728,-0.00740017,-0.0415289,0.00153996,-0.00326131
-0.00819328,0.00351786,-0.0077272,-0.0416912,0.00118258,-0.00338802
0.141156,0.00547885,0.00714018,-0.0680519,-0.00258625,-0.00330851
0.144171,0.0045,0.00779423,-0.0652589,-0.00201865,-0.00359337
0.141286,0.00507143,0.00501841,-0.0678894,-0.00225792,-0.00226495
0.145065,0.00551443,0.00460067,-0.0644445,-0.00243218,-0.00207884
0.142663,0.00498943,0.0074672,-0.0666573,-0.00235287,-0.00345759
0.142728,0.00478571,0.00640632,-0.0665791,-0.00214826,-0.00294833
0.141221,0.00527514,0.0060793,-0.0679688,-0.00242171,-0.00280692
0.14311,0.00549664,0.00587042,-0.0662281,-0.00247067,-0.00270543
0.144618,0.00500722,0.00619745,-0.064854,-0.0022198,-0.00283643
0.143175,0.00529293,0.00480954,-0.0661772,-0.00233841,-0.00217726
0.123377,-0.00714018,-0.00547885,-0.0832997,0.0032812,0.00172579
0.12124,-0.00735743,-0.00264522,-0.0847823,0.00269811,0.000794192
0.122677,-0.00636396,-0.00636396,-0.0837842,0.00285657,0.00176517
0.115929,-0.00507143,-0.00512445,-0.0880159,0.00157811,0.00154871
0.122308,-0.0072488,-0.00406204,-0.0840659,0.00304008,0.00132159
0.121958,-0.00686069,-0.00450459,-0.0842629,0.0028441,0.00140194
0.123027,-0.00675207,-0.00592141,-0.083553,0.00303311,0.00178742
0.119653,-0.0061058,-0.00530165,-0.085708,0.00230348,0.00155353
0.118584,-0.00621443,-0.00388483,-0.0864373,0.00205526,0.0011421
0.119303,-0.00571769,-0.0057442,-0.0859031,0.00216427,0.00156348
0.189464,-0.00760714,-0.00258873,-0.0289691,0.00231238,0.000818842
0.197071,-0.00507143,0.00501841,-0.0248096,0.000971067,-0.00128631
0.197071,-0.00507143,-0.00512445,-0.0246978,0.00138587,0.00135914
0.202143,0.00507143,0.00501841,-0.0226317,-0.00118482,-0.00127236
0.193268,-0.00633929,0.00121484,-0.0267645,0.00180867,-0.00017504
0.197071,-0.00507143,-5.30183E-05,-0.0247947,0.00117346,0.000176389
0.193268,-0.00633929,-0.00385659,-0.0268277,0.00188901,0.00112121
0.195804,-0.00126786,0.00121484,-0.0257022,0.000413951,-0.000204773
0.199607,0,0.00501841,-0.0237482,-0.000137251,-0.00127882
