X,Y,Z,Bx,By,Bz
0.0462891,0.00636396,-0.00636396,0.2038,-0.00213232,0.00341548
0.0494695,0.00714018,-0.00547885,0.206364,-0.00202919,0.00289952
0.0427408,0.00636396,-0.00636396,0.200475,-0.00366136,0.00350226
0.0451359,0.00540812,-0.00479024,0.202704,-0.00261821,0.00268463
0.0478793,0.00675207,-0.00592141,0.205116,-0.00222703,0.0030042
0.0461051,0.00675207,-0.00592141,0.203671,-0.00261583,0.00304244
0.0445149,0.00636396,-0.00636396,0.202301,-0.00246167,0.00333979
0.0457125,0.00588604,-0.0055771,0.203255,-0.00205372,0.00318509
0.0473027,0.00627415,-0.00513455,0.204582,-0.00223313,0.00292026
0.0439383,0.00588604,-0.0055771,0.201721,-0.00284713,0.00288709
0.00693884,-0.00636396,0.00636396,0.0864305,0.0174049,-0.0132414
0.00630891,-0.00714018,0.00547885,0.082855,0.0198187,-0.0106751
-0.0039425,-0.00636396,0.00636396,0.0420557,0.00880117,-0.00879645
0.00012979,-0.0048878,0.00526864,0.0565238,0.00860126,-0.010353
0.00662388,-0.00675207,0.00592141,0.0847514,0.0188176,-0.0123639
0.00118321,-0.00675207,0.00592141,0.0588698,0.0118859,-0.0148641
0.00149817,-0.00636396,0.00636396,0.0610659,0.0106518,-0.0158992
0.00353431,-0.00562588,0.0058163,0.0700533,0.0128154,-0.0146005
0.00321935,-0.00601399,0.00537374,0.0676005,0.0134151,-0.0117034
-0.00190635,-0.00562588,0.0058163,0.0486769,0.0093869,-0.00941261
0.0413171,0.00714018,0.00547885,0.200344,-0.00407784,-0.00394088
0.0401767,0.00456085,0.00510136,0.197391,-0.00289252,-0.00298091
0.0408171,0.00636396,0.00636396,0.1989,-0.00487231,-0.0035181
0.036808,0.00714018,0.00547885,0.193005,-0.008225,-0.00374811
0.0407469,0.00585051,0.00529011,0.199066,-0.00368849,-0.00312801
0.0404969,0.0054624,0.00573266,0.198188,-0.00402931,-0.00290857
0.0410671,0.00675207,0.00592141,0.199499,-0.00390741,-0.00409144
0.0390626,0.00714018,0.00547885,0.196913,-0.0057053,-0.00274626
0.0384924,0.00585051,0.00529011,0.195198,-0.0049842,-0.0030795
0.0388126,0.00675207,0.00592141,0.195995,-0.00587304,-0.00311969
0.0522184,0.00547885,-0.00714018,0.208716,-0.00163126,0.00292419
0.0469778,0.00547885,-0.00714018,0.204313,-0.0012294,0.00389517
0.0493322,0.00355368,-0.00694005,0.206583,-0.00180243,0.004165
0.0462891,0.00636396,-0.00636396,0.2038,-0.00213232,0.00341548
0.0495981,0.00547885,-0.00714018,0.206566,-0.00138163,0.00388076
0.048155,0.00451627,-0.00704011,0.205415,-0.00122509,0.00418802
0.0507753,0.00451627,-0.00704011,0.207665,-0.00152767,0.00359499
0.0492537,0.00592141,-0.00675207,0.206276,-0.00163917,0.00321179
0.0466335,0.00592141,-0.00675207,0.203962,-0.00181177,0.00331195
0.0478106,0.00495882,-0.006652,0.20512,-0.00154147,0.00382809
0.0462891,0.00636396,-0.00636396,0.2038,-0.00213232,0.00341548
0.0493322,0.00355368,-0.00694005,0.206583,-0.00180243,0.004165
0.0509205,0.000833373,-0.00380132,0.206657,-0.000243283,0.00145097
0.0451359,0.00540812,-0.00479024,0.202704,-0.00261821,0.00268463
0.0478106,0.00495882,-0.006652,0.20512,-0.00154147,0.00382809
0.0501264,0.00219353,-0.00537068,0.206609,-0.000999547,0.00240231
0.0486048,0.00359867,-0.00508264,0.205259,-0.00132315,0.00264901
0.0457125,0.00588604,-0.0055771,0.203255,-0.00205372,0.00318509
0.047234,0.0044809,-0.00586514,0.204562,-0.00177633,0.00369905
0.0480282,0.00312075,-0.00429578,0.204547,-0.00148608,0.00216633
0.000964263,-0.00714018,-0.00547885,0.059414,0.0137254,0.0115099
-0.00214363,-0.00646536,-0.0025918,0.049122,0.01159,0.00507999
0.00758917,-0.00779423,-0.0045,0.0908818,0.0265737,0.0105271
0.0094261,-0.00507159,-5.30183E-05,0.0993429,0.0122528,5.37895E-05
-0.000589684,-0.00680277,-0.00403533,0.0542796,0.0131022,0.00785042
0.00272277,-0.00712979,-0.0035459,0.0673574,0.0149911,0.0079931
0.00427671,-0.0074672,-0.00498943,0.0725316,0.0153522,0.0130141
0.00519518,-0.00610589,-0.00276594,0.0786722,0.0124478,0.00683809
0.00364123,-0.00576848,-0.00132241,0.0728213,0.0124927,0.00229114
0.00850763,-0.00643291,-0.00227651,0.0954588,0.0181105,0.00465267
0.0413171,0.00714018,0.00547885,0.200344,-0.00407784,-0.00394088
0.042098,0.00779423,0.0045,0.201001,-0.00393908,-0.00238278
0.0408171,0.00636396,0.00636396,0.1989,-0.00487231,-0.0035181
0.0401767,0.00456085,0.00510136,0.197391,-0.00289252,-0.00298091
0.0417076,0.0074672,0.00498943,0.201246,-0.00408452,-0.00392198
0.0414576,0.0070791,0.00543198,0.200133,-0.00373248,-0.00410232
0.0410671,0.00675207,0.00592141,0.199499,-0.00390741,-0.00409144
0.0407469,0.00585051,0.00529011,0.199066,-0.00368849,-0.00312801
0.0411374,0.00617754,0.00480068,0.199522,-0.00326467,-0.00308598
0.0404969,0.0054624,0.00573266,0.198188,-0.00402931,-0.00290857
0.00525764,-0.00714018,-0.00547885,0.0771238,0.0180651,0.0133043
0.0043545,-0.00507159,-0.00512461,0.0746637,0.0112528,0.0120392
0.000964263,-0.00714018,-0.00547885,0.059414,0.0137254,0.0115099
0.0094261,-0.00507159,-5.30183E-05,0.0993429,0.0122528,5.37895E-05
0.00480607,-0.00610589,-0.00530173,0.0758194,0.0141335,0.0128873
0.00265938,-0.00610589,-0.00530173,0.0669554,0.0126163,0.0121432
0.00311095,-0.00714018,-0.00547885,0.0680276,0.0157449,0.0131185
0.00734187,-0.00610589,-0.00276594,0.087827,0.0147846,0.0073368
0.0068903,-0.00507159,-0.00258882,0.0865225,0.011533,0.00638085
0.00519518,-0.00610589,-0.00276594,0.0786722,0.0124478,0.00683809
0.0462891,0.00636396,-0.00636396,0.2038,-0.00213232,0.00341548
0.0494695,0.00714018,-0.00547885,0.206364,-0.00202919,0.00289952
0.0509205,0.000833373,-0.00380132,0.206657,-0.000243283,0.00145097
0.0493322,0.00355368,-0.00694005,0.206583,-0.00180243,0.004165
0.0478793,0.00675207,-0.00592141,0.205116,-0.00222703,0.0030042
0.050195,0.00398678,-0.00464008,0.206565,-0.00127939,0.00218702
0.0486048,0.00359867,-0.00508264,0.205259,-0.00132315,0.00264901
0.0478106,0.00495882,-0.006652,0.20512,-0.00154147,0.00382809
0.0494008,0.00534693,-0.00620945,0.206385,-0.0016141,0.0030155
