X,Y,Z,Bx,By,Bz
0.0462891,0.00636396,-0.00636396,-0.122283,0.00127613,-0.0020432
0.0494695,0.00714018,-0.00547885,-0.123826,0.00121957,-0.00173636
0.0427408,0.00636396,-0.00636396,-0.120283,0.00218604,-0.00208072
0.0451359,0.00540812,-0.00479024,-0.12163,0.00156753,-0.0016005
0.0478793,0.00675207,-0.00592141,-0.123075,0.00133571,-0.00179735
0.0461051,0.00675207,-0.00592141,-0.122205,0.00156537,-0.00181398
0.0445149,0.00636396,-0.00636396,-0.121379,0.00146946,-0.00199297
0.0457125,0.00588604,-0.0055771,-0.121957,0.00123235,-0.00190498
0.0473027,0.00627415,-0.00513455,-0.122756,0.00134372,-0.00174533
0.0439383,0.00588604,-0.0055771,-0.121036,0.00170127,-0.00171847
0.00693884,-0.00636396,0.00636396,-0.0518055,-0.0102506,0.00828545
0.00630891,-0.00714018,0.00547885,-0.0492791,-0.0135492,0.00790185
-0.0039425,-0.00636396,0.00636396,-0.0251539,-0.00514236,0.00543762
-0.000717092,-0.00507159,0.00501858,-0.0318662,-0.00520511,0.00539574
0.00662388,-0.00675207,0.00592141,-0.0506691,-0.0110386,0.00768986
0.00118321,-0.00675207,0.00592141,-0.0353974,-0.00600272,0.00819051
0.00149817,-0.00636396,0.00636396,-0.0366814,-0.00590139,0.00920806
0.00311087,-0.00571778,0.00569127,-0.0410255,-0.00738331,0.00765972
0.00279591,-0.00610589,0.00524871,-0.0396817,-0.00742148,0.00627971
-0.00232979,-0.00571778,0.00569127,-0.0282463,-0.00534505,0.00511973
0.0413171,0.00714018,0.00547885,-0.120495,0.00241682,0.00231588
0.0401767,0.00456085,0.00510136,-0.11894,0.00170349,0.00181615
0.0408171,0.00636396,0.00636396,-0.11972,0.00297083,0.00203142
0.036808,0.00714018,0.00547885,-0.116009,0.00462312,0.00256067
0.0407469,0.00585051,0.00529011,-0.119818,0.00227551,0.00186594
0.0404969,0.0054624,0.00573266,-0.119355,0.0024451,0.00182051
0.0410671,0.00675207,0.00592141,-0.119995,0.00230644,0.00240957
0.0390626,0.00714018,0.00547885,-0.118431,0.00336938,0.00157375
0.0384924,0.00585051,0.00529011,-0.117534,0.00278465,0.0022059
0.0388126,0.00675207,0.00592141,-0.117917,0.00342452,0.00194444
0.0522184,0.00547885,-0.00714018,-0.125234,0.000977047,-0.00175311
0.0469778,0.00547885,-0.00714018,-0.122589,0.000728875,-0.00233565
0.0493322,0.00355368,-0.00694005,-0.123958,0.00108289,-0.00251134
0.0462891,0.00636396,-0.00636396,-0.122283,0.00127613,-0.0020432
0.0495981,0.00547885,-0.00714018,-0.123944,0.000824292,-0.00233198
0.048155,0.00451627,-0.00704011,-0.123255,0.000728238,-0.00252395
0.0507753,0.00451627,-0.00704011,-0.124606,0.000915891,-0.00215909
0.0492537,0.00592141,-0.00675207,-0.12377,0.000981968,-0.00192773
0.0466335,0.00592141,-0.00675207,-0.122379,0.00108254,-0.00198104
0.0478106,0.00495882,-0.006652,-0.123077,0.00092174,-0.00230182
0.0462891,0.00636396,-0.00636396,-0.122283,0.00127613,-0.0020432
0.0493322,0.00355368,-0.00694005,-0.123958,0.00108289,-0.00251134
0.0509205,0.000833373,-0.00380132,-0.123999,0.000141776,-0.000874834
0.0451359,0.00540812,-0.00479024,-0.12163,0.00156753,-0.0016005
0.0478106,0.00495882,-0.006652,-0.123077,0.00092174,-0.00230182
0.0501264,0.00219353,-0.00537068,-0.12397,0.000596766,-0.00144576
0.0486048,0.00359867,-0.00508264,-0.123159,0.000792366,-0.00159262
0.0457125,0.00588604,-0.0055771,-0.121957,0.00123235,-0.00190498
0.047234,0.0044809,-0.00586514,-0.122745,0.00106426,-0.00222378
0.0480282,0.00312075,-0.00429578,-0.122736,0.000888744,-0.00129704
0.000964263,-0.00714018,-0.00547885,-0.0356541,-0.00801778,-0.00677765
-0.00212712,-0.00644836,-0.00259184,-0.0293804,-0.0069583,-0.00311846
0.00758917,-0.00779423,-0.0045,-0.0545847,-0.0159175,-0.00629875
0.0094261,-0.00507159,-5.30183E-05,-0.0596769,-0.00725769,-5.49771E-05
-0.00058143,-0.00679427,-0.00403535,-0.0324823,-0.00778319,-0.00473751
0.00273102,-0.0071213,-0.00354592,-0.0404123,-0.00884596,-0.00477806
0.00427671,-0.0074672,-0.00498943,-0.0435801,-0.00908469,-0.00767175
0.00519518,-0.00610589,-0.00276594,-0.0473585,-0.0074945,-0.00392572
0.00364949,-0.00575998,-0.00132243,-0.0437617,-0.00713349,-0.00137352
0.00850763,-0.00643291,-0.00227651,-0.0573567,-0.0108557,-0.00277614
0.0413171,0.00714018,0.00547885,-0.120495,0.00241682,0.00231588
0.042098,0.00779423,0.0045,-0.12073,0.00242722,0.00138579
0.0408171,0.00636396,0.00636396,-0.11972,0.00297083,0.00203142
0.0401767,0.00456085,0.00510136,-0.11894,0.00170349,0.00181615
0.0417076,0.0074672,0.00498943,-0.121042,0.00246702,0.00234818
0.0414576,0.0070791,0.00543198,-0.120315,0.00222356,0.00247596
0.0410671,0.00675207,0.00592141,-0.119995,0.00230644,0.00240957
0.0407469,0.00585051,0.00529011,-0.119818,0.00227551,0.00186594
0.0411374,0.00617754,0.00480068,-0.119972,0.00196528,0.00187235
0.0404969,0.0054624,0.00573266,-0.119355,0.0024451,0.00182051
0.00525764,-0.00714018,-0.00547885,-0.0463559,-0.0107905,-0.00791976
0.0043545,-0.00507159,-0.00512461,-0.0450014,-0.0068615,-0.00698895
0.000964263,-0.00714018,-0.00547885,-0.0356541,-0.00801778,-0.00677765
0.0094261,-0.00507159,-5.30183E-05,-0.0596769,-0.00725769,-5.49771E-05
0.00480607,-0.00610589,-0.00530173,-0.0455975,-0.00859703,-0.00768114
0.00265938,-0.00610589,-0.00530173,-0.0403519,-0.00749461,-0.00705497
0.00311095,-0.00714018,-0.00547885,-0.0408726,-0.00929844,-0.00774415
0.00734187,-0.00610589,-0.00276594,-0.0528298,-0.00896149,-0.00429535
0.0068903,-0.00507159,-0.00258882,-0.0521797,-0.00696641,-0.00356965
0.00519518,-0.00610589,-0.00276594,-0.0473585,-0.0074945,-0.00392572
0.0462891,0.00636396,-0.00636396,-0.122283,0.00127613,-0.0020432
0.0494695,0.00714018,-0.00547885,-0.123826,0.00121957,-0.00173636
0.0509205,0.000833373,-0.00380132,-0.123999,0.000141776,-0.000874834
0.0493322,0.00355368,-0.00694005,-0.123958,0.00108289,-0.00251134
0.0478793,0.00675207,-0.00592141,-0.123075,0.00133571,-0.00179735
0.050195,0.00398678,-0.00464008,-0.123945,0.000765836,-0.00131642
0.0486048,0.00359867,-0.00508264,-0.123159,0.000792366,-0.00159262
0.0478106,0.00495882,-0.006652,-0.123077,0.00092174,-0.00230182
0.0494008,0.00534693,-0.00620945,-0.123837,0.000967034,-0.00181015
0.0501264,0.00219353,-0.00537068,-0.12397,0.000596766,-0.00144576
0.000964263,-0.00714018,-0.00547885,-0.0356541,-0.00801778,-0.00677765
0.0043545,-0.00507159,-0.00512461,-0.0450014,-0.0068615,-0.00698895
0.00566433,-0.00636396,-0.00636396,-0.0481555,-0.00897481,-0.00882588
0.0013697,-0.00636396,-0.00636396,-0.0364107,-0.00756777,-0.00780322
0.00265938,-0.00610589,-0.00530173,-0.0403519,-0.00749461,-0.00705497
0.00500942,-0.00571778,-0.00574429,-0.0464613,-0.00782037,-0.00823033
