X,Y,Z,Bx,By,Bz
0.0462891,0.00636396,-0.00636396,0.26999,-0.00170984,0.0035039
0.0494695,0.00714018,-0.00547885,0.272236,-0.00142324,0.00286872
0.0427408,0.00636396,-0.00636396,0.266686,-0.0039546,0.00362592
0.0451359,0.00540812,-0.00479024,0.268905,-0.00261446,0.00271791
0.0478793,0.00675207,-0.00592141,0.271177,-0.00177389,0.0030033
0.0461051,0.00675207,-0.00592141,0.26987,-0.00230726,0.00304118
0.0445149,0.00636396,-0.00636396,0.268591,-0.00217976,0.00337595
0.0457125,0.00588604,-0.0055771,0.269452,-0.00171333,0.00329649
0.0473027,0.00627415,-0.00513455,0.270662,-0.00187605,0.00297968
0.0439383,0.00588604,-0.0055771,0.267994,-0.00288248,0.00286476
0.00693884,-0.00636396,0.00636396,0.118838,0.0235412,-0.0181391
0.00630891,-0.00714018,0.00547885,0.114271,0.0279677,-0.013415
-0.0039425,-0.00636396,0.00636396,0.0568053,0.0137143,-0.0150758
0.000524929,-0.00376322,0.00417788,0.0798594,0.00952373,-0.0107091
0.00662388,-0.00675207,0.00592141,0.116558,0.0261677,-0.0164823
0.00118321,-0.00675207,0.00592141,0.0808209,0.0174185,-0.0188418
0.00149817,-0.00636396,0.00636396,0.0837058,0.0159966,-0.0213868
0.00373188,-0.00506359,0.00527092,0.0974213,0.0156973,-0.0152186
0.00341692,-0.0054517,0.00482837,0.0945271,0.0176409,-0.0119596
-0.00170878,-0.00506359,0.00527092,0.0673768,0.0118336,-0.0129437
0.0413171,0.00714018,0.00547885,0.267917,-0.00415552,-0.00442525
0.0401767,0.00456085,0.00510136,0.264679,-0.00303018,-0.00323524
0.0408171,0.00636396,0.00636396,0.266278,-0.00573041,-0.00345973
0.036808,0.00714018,0.00547885,0.259156,-0.00950923,-0.00490858
0.0407469,0.00585051,0.00529011,0.266542,-0.00409134,-0.00334667
0.0404969,0.0054624,0.00573266,0.265539,-0.00462123,-0.00310508
0.0410671,0.00675207,0.00592141,0.266824,-0.00397636,-0.00454678
0.0390626,0.00714018,0.00547885,0.263965,-0.00646006,-0.00258668
0.0384924,0.00585051,0.00529011,0.262065,-0.00532223,-0.00410678
0.0388126,0.00675207,0.00592141,0.262821,-0.00667568,-0.00334548
0.0522184,0.00547885,-0.00714018,0.274311,-0.00121927,0.00242239
0.0469778,0.00547885,-0.00714018,0.270441,-0.000660472,0.00414593
0.0493322,0.00355368,-0.00694005,0.272553,-0.00185198,0.00425071
0.0462891,0.00636396,-0.00636396,0.26999,-0.00170984,0.0035039
0.0495981,0.00547885,-0.00714018,0.272487,-0.000857932,0.00400174
0.048155,0.00451627,-0.00704011,0.271499,-0.000917724,0.00447257
0.0507753,0.00451627,-0.00704011,0.273484,-0.00131705,0.00339907
0.0492537,0.00592141,-0.00675207,0.272204,-0.00115281,0.00305786
0.0466335,0.00592141,-0.00675207,0.270096,-0.00136406,0.00333933
0.0478106,0.00495882,-0.006652,0.271252,-0.00120298,0.00402468
0.0462891,0.00636396,-0.00636396,0.26999,-0.00170984,0.0035039
0.0493322,0.00355368,-0.00694005,0.272553,-0.00185198,0.00425071
0.0509205,0.000833373,-0.00380132,0.272081,-0.000123925,0.00126172
0.0451359,0.00540812,-0.00479024,0.268905,-0.00261446,0.00271791
0.0478106,0.00495882,-0.006652,0.271252,-0.00120298,0.00402468
0.0501264,0.00219353,-0.00537068,0.272267,-0.000917387,0.00220004
0.0486048,0.00359867,-0.00508264,0.271063,-0.00111064,0.00265791
0.0457125,0.00588604,-0.0055771,0.269452,-0.00171333,0.00329649
0.047234,0.0044809,-0.00586514,0.270623,-0.00166362,0.00385389
0.0480282,0.00312075,-0.00429578,0.270298,-0.00144183,0.00212265
0.000964263,-0.00714018,-0.00547885,0.0808444,0.0176547,0.0157169
-0.00221264,-0.00640946,-0.002662,0.0660853,0.0151028,0.00759542
0.00758917,-0.00779423,-0.0045,0.125057,0.037081,0.0139186
0.00836751,-0.00445872,-0.000276806,0.129356,0.014577,0.00104173
-0.00062419,-0.00677482,-0.00407042,0.0733053,0.0170632,0.0111212
0.00268826,-0.00710184,-0.003581,0.0913475,0.0200646,0.0106414
0.00427671,-0.0074672,-0.00498943,0.0987796,0.0194936,0.0176552
0.00466589,-0.00579945,-0.00287783,0.104619,0.0159693,0.00916217
0.00307743,-0.00543409,-0.0014694,0.09595,0.0159082,0.00331071
0.00797834,-0.00612647,-0.0023884,0.127691,0.0245352,0.00588266
0.0413171,0.00714018,0.00547885,0.267917,-0.00415552,-0.00442525
0.042098,0.00779423,0.0045,0.268013,-0.00412504,-0.00221229
0.0408171,0.00636396,0.00636396,0.266278,-0.00573041,-0.00345973
0.0401767,0.00456085,0.00510136,0.264679,-0.00303018,-0.00323524
0.0417076,0.0074672,0.00498943,0.269042,-0.00419622,-0.00461356
0.0414576,0.0070791,0.00543198,0.267388,-0.00369587,-0.00483156
0.0410671,0.00675207,0.00592141,0.266824,-0.00397636,-0.00454678
0.0407469,0.00585051,0.00529011,0.266542,-0.00409134,-0.00334667
0.0411374,0.00617754,0.00480068,0.266694,-0.00322465,-0.00339694
0.0404969,0.0054624,0.00573266,0.265539,-0.00462123,-0.00310508
0.00525764,-0.00714018,-0.00547885,0.105159,0.0246059,0.0179891
0.0043545,-0.00507159,-0.00512461,0.102237,0.015684,0.0158475
0.000964263,-0.00714018,-0.00547885,0.0808444,0.0176547,0.0157169
0.00836751,-0.00445872,-0.000276806,0.129356,0.014577,0.00104173
0.00480607,-0.00610589,-0.00530173,0.103428,0.0199416,0.0172257
0.00265938,-0.00610589,-0.00530173,0.0915297,0.0170469,0.0162897
0.00311095,-0.00714018,-0.00547885,0.0925608,0.0210239,0.0179778
0.00681258,-0.00579945,-0.00287783,0.117012,0.0193204,0.00997877
0.00636101,-0.00476516,-0.00270071,0.115555,0.0148178,0.00842891
0.00466589,-0.00579945,-0.00287783,0.104619,0.0159693,0.00916217
