X,Y,Z,Bx,By,Bz
0.0462891,0.00636396,-0.00636396,0.229301,-0.0023779,0.0038353
0.0494695,0.00714018,-0.00547885,0.232182,-0.00227004,0.00325383
0.0427408,0.00636396,-0.00636396,0.225555,-0.00409668,0.003934
0.0451359,0.00540812,-0.00479024,0.228068,-0.00292901,0.00301233
0.0478793,0.00675207,-0.00592141,0.23078,-0.00248912,0.00337347
0.0461051,0.00675207,-0.00592141,0.229154,-0.00292304,0.00341496
0.0445149,0.00636396,-0.00636396,0.227612,-0.00274648,0.00374894
0.0457125,0.00588604,-0.0055771,0.228686,-0.00228956,0.00357832
0.0473027,0.00627415,-0.00513455,0.230181,-0.00249874,0.00327727
0.0439383,0.00588604,-0.0055771,0.226959,-0.00318592,0.00324008
0.00693884,-0.00636396,0.00636396,0.0965884,0.0203599,-0.01711
0.00630891,-0.00714018,0.00547885,0.092867,0.0245326,-0.0141764
-0.0039425,-0.00636396,0.00636396,0.0470892,0.00964224,-0.0114098
0.000728929,-0.00420533,0.00605803,0.0656589,0.00791583,-0.0147408
0.00662388,-0.00675207,0.00592141,0.0947005,0.0226092,-0.015871
0.00118321,-0.00675207,0.00592141,0.0663157,0.0144263,-0.0168465
0.00149817,-0.00636396,0.00636396,0.068622,0.0132007,-0.0163552
0.00383388,-0.00528464,0.006211,0.0794046,0.0126455,-0.0153888
0.00351892,-0.00567275,0.00576844,0.0770881,0.0134639,-0.012601
-0.00160678,-0.00528464,0.006211,0.0559111,0.00941187,-0.0134254
0.0413171,0.00714018,0.00547885,0.22549,-0.00456589,-0.0044942
0.0401767,0.00456085,0.00510136,0.222116,-0.00322791,-0.00332999
0.0408171,0.00636396,0.00636396,0.223819,-0.00543477,-0.00392805
0.036808,0.00714018,0.00547885,0.217199,-0.00934644,-0.00420782
0.0407469,0.00585051,0.00529011,0.223999,-0.00409457,-0.00353405
0.0404969,0.0054624,0.00573266,0.223016,-0.00448845,-0.00324414
0.0410671,0.00675207,0.00592141,0.224525,-0.00438762,-0.00459439
0.0390626,0.00714018,0.00547885,0.221638,-0.00643735,-0.00304276
0.0384924,0.00585051,0.00529011,0.219668,-0.00564144,-0.0034122
0.0388126,0.00675207,0.00592141,0.220583,-0.0066195,-0.00340375
0.0522184,0.00547885,-0.00714018,0.23482,-0.00182596,0.00327574
0.0469778,0.00547885,-0.00714018,0.229877,-0.00136654,0.00437623
0.0493322,0.00355368,-0.00694005,0.232428,-0.00201305,0.00467384
0.0462891,0.00636396,-0.00636396,0.229301,-0.0023779,0.0038353
0.0495981,0.00547885,-0.00714018,0.232408,-0.00154298,0.00436369
0.048155,0.00451627,-0.00704011,0.231118,-0.0013628,0.00470586
0.0507753,0.00451627,-0.00704011,0.233644,-0.00170789,0.00403044
0.0492537,0.00592141,-0.00675207,0.232082,-0.00183228,0.00361009
0.0466335,0.00592141,-0.00675207,0.229482,-0.00202065,0.00371748
0.0478106,0.00495882,-0.006652,0.230788,-0.00171637,0.00430026
0.0462891,0.00636396,-0.00636396,0.229301,-0.0023779,0.0038353
0.0493322,0.00355368,-0.00694005,0.232428,-0.00201305,0.00467384
0.0509205,0.000833373,-0.00380132,0.232507,-0.000251035,0.00163632
0.0451359,0.00540812,-0.00479024,0.228068,-0.00292901,0.00301233
0.0478106,0.00495882,-0.006652,0.230788,-0.00171637,0.00430026
0.0501264,0.00219353,-0.00537068,0.232453,-0.00110742,0.00269784
0.0486048,0.00359867,-0.00508264,0.230937,-0.00147217,0.00298051
0.0457125,0.00588604,-0.0055771,0.228686,-0.00228956,0.00357832
0.047234,0.0044809,-0.00586514,0.230162,-0.00197943,0.00415967
0.0480282,0.00312075,-0.00429578,0.23014,-0.0016542,0.00243768
0.0413171,0.00714018,0.00547885,0.22549,-0.00456589,-0.0044942
0.042098,0.00779423,0.0045,0.226189,-0.00446347,-0.00257934
0.0408171,0.00636396,0.00636396,0.223819,-0.00543477,-0.00392805
0.0401767,0.00456085,0.00510136,0.222116,-0.00322791,-0.00332999
0.0417076,0.0074672,0.00498943,0.226516,-0.00454805,-0.00453534
0.0414576,0.0070791,0.00543198,0.225233,-0.00417493,-0.00469145
0.0410671,0.00675207,0.00592141,0.224525,-0.00438762,-0.00459439
0.0407469,0.00585051,0.00529011,0.223999,-0.00409457,-0.00353405
0.0411374,0.00617754,0.00480068,0.224536,-0.00358016,-0.00345848
0.0404969,0.0054624,0.00573266,0.223016,-0.00448845,-0.00324414
0.0462891,0.00636396,-0.00636396,0.229301,-0.0023779,0.0038353
0.0494695,0.00714018,-0.00547885,0.232182,-0.00227004,0.00325383
0.0509205,0.000833373,-0.00380132,0.232507,-0.000251035,0.00163632
0.0493322,0.00355368,-0.00694005,0.232428,-0.00201305,0.00467384
0.0478793,0.00675207,-0.00592141,0.23078,-0.00248912,0.00337347
0.050195,0.00398678,-0.00464008,0.232405,-0.00142189,0.00246117
0.0486048,0.00359867,-0.00508264,0.230937,-0.00147217,0.00298051
0.0478106,0.00495882,-0.006652,0.230788,-0.00171637,0.00430026
0.0494008,0.00534693,-0.00620945,0.232206,-0.00180193,0.00338813
0.0501264,0.00219353,-0.00537068,0.232453,-0.00110742,0.00269784
0.000964263,-0.00714018,-0.00547885,0.0666837,0.0145191,0.0128685
0.0043545,-0.00507159,-0.00512461,0.0837579,0.0128686,0.0133196
0.00566433,-0.00636396,-0.00636396,0.0901281,0.0169524,0.0163032
0.0013697,-0.00636396,-0.00636396,0.0680099,0.0141381,0.0153305
0.00265938,-0.00610589,-0.00530173,0.0750152,0.0140429,0.0137216
0.00500942,-0.00571778,-0.00574429,0.0868137,0.0148882,0.0149228
