X [m], Y [m], Z [m], MagneticFluxDensity X [T], MagneticFluxDensity Y [T], MagneticFluxDensity Z [T]
0.192311, -0.00426133, 0.00555347, -0.00846462, 0.0011238, -0.00182592
0.182394, -0.00494975, 0.00494975, -0.0163415, 0.00322313, -0.00199829
0.179275, -0.00426133, 0.00555347, -0.021312, 0.00370673, -0.0050268
0.18186, 0, 0.00501858, -0.0174876, 0.000545192, -0.00242873
0.187353, -0.00460554, 0.00525161, -0.0122833, 0.00232161, -0.002395
0.180835, -0.00460554, 0.00525161, -0.0182215, 0.00313763, -0.00322562
0.185793, -0.00426133, 0.00555347, -0.0137086, 0.00241411, -0.00211378
0.187086, -0.00213067, 0.00528602, -0.0127933, 0.00122069, -0.00168083
0.182127, -0.00247487, 0.00498416, -0.0169625, 0.00186178, -0.00188189
0.180568, -0.00213067, 0.00528602, -0.0194032, 0.00219193, -0.00358157
0.0451261, -0.00555347, 0.00426133, -0.16069, -0.00166756, 0.00158981
0.0531031, -0.00606218, 0.0035, -0.164091, 0.00378414, -0.00142253
0.0348955, -0.00606218, 0.0035, -0.153533, -0.00478156, 0.00327371
0.0404691, -0.00694011, 0.000913683, -0.158052, -0.00261953, -0.000335739
0.0491146, -0.00580783, 0.00388067, -0.162868, -0.00554528, 0.00306304
0.0439993, -0.00606218, 0.0035, -0.159752, -0.00191974, 0.00148195
0.0400108, -0.00580783, 0.00388067, -0.157474, 0.00256239, -0.000299425
0.0427976, -0.00624679, 0.00258751, -0.159215, -0.00094102, 0.000506528
0.0467861, -0.00650115, 0.00220684, -0.16151, -0.00229316, 0.00106355
0.0376823, -0.00650115, 0.00220684, -0.155726, -0.0037895, 0.00165488
-0.0171148, -0.0035, 0.00606218, -0.0129001, -0.001945, 0.00310425
-0.0181617, -0.00426133, 0.00555347, -0.0119383, -0.00205257, 0.0022774
-0.0156394, -0.000298271, 0.00325486, -0.0158774, 9.75126e-05, 0.00184821
-0.0133349, -0.00426133, 0.00555347, -0.0175848, -0.00294285, 0.00444903
-0.0176382, -0.00388067, 0.00580783, -0.012386, -0.00207223, 0.00276977
-0.0169005, -0.0022798, 0.00440417, -0.0139702, -0.00108496, 0.00214814
-0.0163771, -0.00189914, 0.00465852, -0.014451, -0.000896931, 0.00254554
-0.0152248, -0.00388067, 0.00580783, -0.0151829, -0.00242565, 0.00375075
-0.0157483, -0.00426133, 0.00555347, -0.0146239, -0.00269917, 0.00323608
-0.0144871, -0.0022798, 0.00440417, -0.016696, -0.00133246, 0.00308151
0.0531031, -0.00606218, 0.0035, -0.164091, 0.00378414, -0.00142253
0.042808, -0.00646716, 0.00267878, -0.159219, -0.00325321, 0.0015256
0.0348955, -0.00606218, 0.0035, -0.153533, -0.00478156, 0.00327371
0.0404691, -0.00694011, 0.000913683, -0.158052, -0.00261953, -0.000335739
0.0479555, -0.00626467, 0.00308939, -0.162171, -0.000931288, 0.00142871
0.0388518, -0.00626467, 0.00308939, -0.156792, -0.00640197, 0.00230695
0.0439993, -0.00606218, 0.0035, -0.159752, -0.00191974, 0.00148195
0.0467861, -0.00650115, 0.00220684, -0.16151, -0.00229316, 0.00106355
0.0416385, -0.00670364, 0.00179623, -0.15865, -0.00294458, 0.000821014
0.0376823, -0.00650115, 0.00220684, -0.155726, -0.0037895, 0.00165488
-0.0187899, -0.00646716, 0.00267878, -0.0115591, -0.00263581, 0.00103755
-0.0158871, -0.00676148, 0.00181173, -0.0148317, -0.00348667, 0.000776058
-0.0210035, -0.00507159, -5.30183e-05, -0.0100141, -0.00163674, -0.000227994
-0.0156394, -0.000298271, 0.00325486, -0.0158774, 9.75126e-05, 0.00184821
