X,Y,Z,Bx,By,Bz
0.0462891,0.00636396,-0.00636396,-0.162005,0.00101657,-0.00212416
0.0494695,0.00714018,-0.00547885,-0.163341,0.000848494,-0.00174542
0.0427408,0.00636396,-0.00636396,-0.160035,0.0023581,-0.00220127
0.0451359,0.00540812,-0.00479024,-0.161361,0.00155677,-0.00164946
0.0478793,0.00675207,-0.00592141,-0.162711,0.00105583,-0.00182712
0.0461051,0.00675207,-0.00592141,-0.161934,0.00137126,-0.00184724
0.0445149,0.00636396,-0.00636396,-0.161173,0.00129473,-0.0020469
0.0457125,0.00588604,-0.0055771,-0.161686,0.00101733,-0.00199949
0.0473027,0.00627415,-0.00513455,-0.162405,0.00111526,-0.00180965
0.0439383,0.00588604,-0.0055771,-0.160819,0.00171454,-0.00173973
0.00693884,-0.00636396,0.00636396,-0.0716264,-0.0132875,0.0117438
0.00630891,-0.00714018,0.00547885,-0.0690622,-0.0152935,0.00972786
-0.0039425,-0.00636396,0.00636396,-0.0334832,-0.00823101,0.00657943
-0.000717092,-0.00507159,0.00501858,-0.0441815,-0.00815607,0.00756591
0.00662388,-0.00675207,0.00592141,-0.070379,-0.0144064,0.010885
0.00118321,-0.00675207,0.00592141,-0.0494536,-0.0110581,0.0105712
0.00149817,-0.00636396,0.00636396,-0.0508783,-0.0102386,0.0116214
0.00311087,-0.00571778,0.00569127,-0.0571534,-0.0105612,0.0109837
0.00279591,-0.00610589,0.00524871,-0.0556522,-0.0113132,0.00946373
-0.00232979,-0.00571778,0.00569127,-0.0384427,-0.00851116,0.00705701
0.0413171,0.00714018,0.00547885,-0.160781,0.00249511,0.00264095
0.0401767,0.00456085,0.00510136,-0.158839,0.00181715,0.00192723
0.0408171,0.00636396,0.00636396,-0.159796,0.00343363,0.00205675
0.036808,0.00714018,0.00547885,-0.155517,0.00569969,0.00293296
0.0407469,0.00585051,0.00529011,-0.159956,0.0024527,0.00199363
0.0404969,0.0054624,0.00573266,-0.159354,0.00276708,0.00184879
0.0410671,0.00675207,0.00592141,-0.160124,0.00238565,0.00270885
0.0390626,0.00714018,0.00547885,-0.158407,0.0038735,0.00153601
0.0384924,0.00585051,0.00529011,-0.157268,0.00318718,0.00245269
0.0388126,0.00675207,0.00592141,-0.157721,0.0040017,0.00198933
0.0522184,0.00547885,-0.00714018,-0.164593,0.000736515,-0.0014704
0.0469778,0.00547885,-0.00714018,-0.162277,0.000388025,-0.0025119
0.0493322,0.00355368,-0.00694005,-0.163545,0.00111535,-0.00256954
0.0462891,0.00636396,-0.00636396,-0.162005,0.00101657,-0.00212416
0.0495981,0.00547885,-0.00714018,-0.163501,0.000512919,-0.00241953
0.048155,0.00451627,-0.00704011,-0.162912,0.000546572,-0.00270511
0.0507753,0.00451627,-0.00704011,-0.164098,0.000790232,-0.00205644
0.0492537,0.00592141,-0.00675207,-0.163329,0.000689683,-0.00185546
0.0466335,0.00592141,-0.00675207,-0.162069,0.000808272,-0.00202748
0.0478106,0.00495882,-0.006652,-0.162762,0.000716819,-0.00243544
0.0462891,0.00636396,-0.00636396,-0.162005,0.00101657,-0.00212416
0.0493322,0.00355368,-0.00694005,-0.163545,0.00111535,-0.00256954
0.0509205,0.000833373,-0.00380132,-0.163263,7.50295E-05,-0.000770989
