ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
1,1014.9999999881,2.2590091421234,3.1209835647855,2380.9262610617,-18.847514877799,-1.2422614086387
2,1014.9999999987,-2.6175255524096,3.1260681772469,2381.6532916057,-6.2157626914332,-18.009373948493
3,1014.9999999903,2.0549316533661,0.088189181824495,2377.5259638448,-5.227068046886,3.3320384541591
4,1014.9999999938,0.86711297570905,-1.6336600730452,2377.371911718,1.6274825619172,4.2652252482559
5,1014.9999999995,-1.3027948959085,-3.6513359379168,2378.9697496738,12.066258397303,4.4850723245594
6,1014.9999999913,3.5477713424449,-2.5252094797501,2380.9695597472,0.033827029494936,16.980483350619
7,1014.9999999895,-0.49365696826424,-1.1055452172626,2377.2466726277,3.4407187984768,-0.05690404544466
8,1014.9999999931,3.8444039100655,-0.75813057591853,2379.0596684965,-7.5740800809707,10.20298231879
9,1014.9999999866,3.303717516547,1.7030924836682,2379.1312633792,-13.506358348083,3.3942071356157
10,1014.9999999841,-2.891760194153,2.8211451342857,2379.146589151,-1.4619344338577,-13.870869108797
11,1014.9999999868,2.3048145064653,-3.7686896094523,2380.657300726,7.3438515505353,15.252741798598
12,1014.9999999865,3.2802172717547,0.76922128371827,2378.5321804548,-10.226247565016,4.8855792472195
13,1014.999999981,0.2743571606365,1.3814046806484,2377.2905871163,-4.1897918824858,-2.6733530450338
14,1014.999999993,-2.1507623899221,-2.6008254443102,2378.3240019519,10.948273346478,-0.71390946061086
15,1014.9999999817,-1.7082663116413,-0.93849306899312,2377.4601971467,5.9824405584532,-3.3031500572555
16,1014.9999999839,2.3064644969019,2.0872646902821,2378.2924909327,-11.355495374677,0.011959295139507
17,1014.9999999816,1.0541527135794,2.3958656489231,2377.8610007971,-8.7371479287833,-3.0000759060917
18,1014.9999999831,2.5946234790865,-1.1584690687545,2377.9334234763,-3.3304754089359,7.2257788142089
19,1014.999999995,-2.2108402390838,-3.0426545194135,2378.814334532,12.505870084214,0.24047533598222
20,1014.9999999995,-1.3676607844338,3.1313774300143,2378.3154260095,-5.1112274799282,-9.7902750871088
21,1014.9999999885,-0.19663653839434,-1.9879231833699,2377.431817218,4.7160194828217,2.5869907654036
22,1014.99999999,3.2615000287237,-0.36815875309732,2378.3003320074,-7.0218137054032,7.2030804049865
23,1014.9999999954,2.0979144651419,0.065812305105823,2377.5454657448,-5.2726743025765,3.4673610930867
24,1014.9999999871,-1.1835481019692,-1.6075887793024,2377.4441692684,6.181631541739,-0.65743146767551
25,1014.9999999926,-0.83258256120169,3.9476597461145,2379.1060941595,-9.2558535623601,-10.711011174308
26,1014.999999987,-0.013646371741044,1.6373036137509,2377.3444487324,-4.1461051296855,-3.7426178403418
27,1014.9999999949,0.44093614261626,-1.0929868155332,2377.2516131362,1.2863753936852,2.1287306169665
28,1014.9999999937,-1.7953319889743,1.4447266549954,2377.6274773206,0.29125379234283,-7.5633832848719
29,1014.9999999983,2.9043583229243,-0.47142755075184,2377.9745395798,-5.8627492841551,6.4536975751825
30,1014.9999999849,2.0650445717616,-1.9519874588023,2377.8945226452,-0.064294318375769,7.7819596031735
31,1014.9999999939,-0.97415711682186,2.8552680588979,2377.9646381102,-5.1528295358929,-8.1937645060121
32,1014.9999999841,1.8017465371991,1.7440147636555,2383.256034736,-18.691294240532,9.1788292563803
