ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
1,591.74759533589,-0.64540273324026,5.7723210085156,2380.9980906996,0.23498923290261,3.8300805869583
2,591.74761203906,-5.6492103197173,1.1046632488869,2381.7279933194,-2.5114493238513,0.91277537460102
3,591.74760047908,1.3965745681441,2.2054294712755,2377.5314689934,2.2084187066256,2.7148319872151
4,591.74760339325,2.107746352023,-0.38498467345834,2377.3739124073,3.2321926227403,-0.93862149120469
5,591.74753384094,2.4744973487592,-4.3922440472301,2378.9951760212,2.9991090460342,-5.9781388263104
6,591.74757958188,5.7346668828476,0.94560367361053,2381.0253771825,4.7092464960984,0.59883980089375
7,591.74761094383,0.51491261560126,-1.3194610793327,2377.2478351097,0.57317377026205,-2.4466807194235
8,591.7475373597,3.8402777323185,3.3308060624875,2379.0844618521,5.514100169062,3.6182705077867
9,591.7475630318,1.1091048631581,4.9917164159181,2379.1653928153,2.0885835114595,5.2136551097534
10,591.74754260187,-5.1340950469144,-0.32865118010241,2379.1788382161,-6.3923946395221,-0.47330018275059
11,591.74756969208,5.580654942169,-1.5855171217921,2380.7116105979,4.8602749069758,-2.0896546247622
12,591.74756183116,1.8221218744771,4.0742838412663,2378.5526956332,3.053886233473,4.6396511046868
13,591.74761220647,-1.1568930737053,1.3853888864511,2377.2942761557,-2.1526691664467,1.5897615295682
14,591.74754184649,0.66241284174905,-4.227491377635,2378.3407701427,0.79296191349257,-6.3233619210937
15,591.74758583452,-0.62564061126392,-2.4266689238625,2377.4660803117,-1.1662320947823,-4.1672852213336
16,591.74757281354,-0.17976110404412,4.1728866110243,2378.3141114866,0.069601087766569,5.1090228020541
17,591.74758306247,-1.4558716190881,3.0477979939737,2377.8746820261,-2.1732451449628,3.9434643450357
18,591.7475717823,3.01749249032,1.735777677029,2377.9411477482,4.6992380847163,2.1178860167175
19,591.74753294308,1.0419973883525,-4.7186863994077,2378.8377250966,1.2100360666222,-6.6110708230984
20,591.74754976535,-4.0519672947946,1.2486824017366,2378.3332887402,-5.9236410949833,1.3848907530022
21,591.74759511244,1.6340612018147,-1.7227891590203,2377.4348137444,2.3673023640069,-3.0134962878309
22,591.74755779563,2.838668904319,3.0769106730454,2378.3146929168,4.4339753229705,3.6360399188311
23,591.74760043067,1.4509275379128,2.2319396080752,2377.5511401997,2.2999665869882,2.7479557086983
24,591.74759028903,0.45635488167561,-2.4100351333215,2377.4487214274,0.50912057385259,-4.0915212588783
25,591.7475397236,-4.4011126023447,2.6572920470302,2379.1394104922,-5.6239058549401,3.2001579618251
26,591.74760279677,-1.6143896348869,1.2983325365817,2377.3487831588,-2.8994502327086,1.4770569611426
27,591.74761523126,1.2441620345765,-0.37507032394858,2377.2520430788,1.7902303199147,-0.96807503166751
28,591.74757832652,-2.8532029932518,-0.61453352903264,2377.6346117842,-4.6136414414277,-1.4414106317876
29,591.74757068322,2.616137536633,2.6263176892113,2377.9848073253,4.1287531317443,3.1847232402899
30,591.74756995597,3.3669755034279,0.53024950635625,2377.9015146971,5.204196713675,0.47601938253859
31,591.74756086744,-3.4760855454362,1.3704332668499,2377.9776360502,-5.4105051583361,1.61196528112
32,591.74757281493,2.0360925683372,4.304042936713,2383.3416958094,-0.44031922107826,-5.0109511191171
33,591.7476049267,-4.0248413361358,-2.8850396582725,2383.175611079,2.5146767389685,1.9494540471658
34,591.7471932555,2.4367184333169,0.92748703957786,2384.7814920611,-13.243075968023,-6.3104208529762
35,591.74762383773,-5.0853790180282,-1.6382225342174,2382.629671689,0.5982466988855,0.56527860008614
36,591.74755242265,3.2655566716088,4.5170975379487,2379.904946009,4.684144089744,3.7907124305687
37,591.74755504356,2.2500202785052,-5.2866276236239,2380.2687606153,1.9382540677809,-5.595667036216
38,591.74754478916,-1.6578474760362,-3.8261356005531,2378.2677218841,-2.5186454938449,-5.809195704781
39,591.74756995952,1.5440600896527,-2.9633135043449,2377.8329033363,2.146654349825,-4.7823680162402
40,591.74762092534,-5.5971092680871,-0.017511635640686,2382.1513676425,-1.1888679722096,0.45461903530971
41,591.74756743431,0.43608918833673,-3.317911871224,2377.831721336,0.49108884178647,-5.3233835676036
42,591.74760375306,2.1064903943602,0.72661995794635,2377.4026330866,3.2768765604442,0.71780616715496
43,591.74756800841,-2.0051938832916,3.5442142109453,2378.2259508879,-2.7752894871928,4.5918470155981
44,591.7476225776,-1.6373498479916,-5.3099196495473,2382.2945652049,-1.0410112589764,-0.89572128596195
45,591.74754482741,2.3368364182123,-3.5790017388098,2378.345270022,3.1413725478843,-5.407762817453
46,591.74761934891,0.38094056001892,1.4139575007553,2377.2503964791,0.42377404652648,1.6408034710283
47,591.74753897638,3.0008619632901,-3.4833080757088,2378.6188817689,3.940247428688,-5.1701844560693
48,591.7475432191,-4.8587232814346,-0.49558574869057,2378.9435574557,-6.3611665504569,-0.80538325554264
49,591.74759562762,-1.7578415203403,1.8247187149416,2377.492344194,-3.0250332815201,2.2722411426296
50,591.74761604224,-0.98853630332094,0.2412841446387,2377.1299065645,-1.9863458799606,-0.13041135769438
51,591.74752986133,-0.0032239473454704,-4.8765388817656,2378.8851933151,-0.26802293744496,-6.8292025572533
52,591.74755583446,2.2551670660663,-3.1413121244765,2378.0538791914,3.1214680198689,-4.9371333435564
53,591.7475425078,-5.2096121548234,-0.12485570177414,2379.265484495,-6.3953723776049,-0.20468006478617
54,591.74755269318,-3.9924712605612,-0.58781926053404,2378.1908044674,-5.818146767138,-1.2109756164894
55,591.74753468049,3.8337321716716,-3.4209312935485,2379.1247391882,4.6139890330005,-4.843529714203
56,591.74757454012,-0.9420401068103,-2.8873780537894,2377.6879652732,-1.607869306301,-4.798505327476
57,591.74756277065,-1.599364837114,-3.0553799089269,2377.8932468705,-2.5227842732756,-4.9634671817316
58,591.74753572151,3.4323774510052,-3.6209366263823,2378.9414098763,4.2437951558886,-5.1423972318673
59,591.74760303976,-2.9005500131385,5.0347863587649,2381.2949398825,-1.3855359664863,2.9375423767364
60,591.74754131713,-0.81422692324327,-4.2278913913504,2378.3702183012,-1.3392408745315,-6.3259941953567
61,591.74756379034,-2.9871682310654,-1.9356719579378,2377.9630358374,-4.481484358855,-3.3022516754479
62,591.74760325897,1.325370426228,-1.4679449264227,2377.3191170383,1.8925288631195,-2.6340414309323
63,591.74753784894,3.7607496212641,-3.0230822247113,2378.8504511404,4.8207261654459,-4.5403099251866
64,591.74756450957,3.5384724710197,4.5754533326194,2380.5472786409,4.5575057906821,3.045298970943
65,591.74758237714,2.7541019348651,1.5183624330169,2377.7639049397,4.3129608342726,1.8353437304615
66,591.74755463605,-2.2632939897599,4.4516912481776,2378.9877149348,-2.5950372315205,5.3815364981919
67,591.74756268652,-3.1837117536694,-4.8460854948859,2380.5714076827,-3.2297661267836,-4.5938978703976
68,591.74760234042,-1.8094006624741,0.75255733060921,2377.3139275797,-3.278252997618,0.63738804942371
