PE (V):30000, 3rd Electrode (V):15000, x_width (mm):0, y_height (mm):0, 1st Solenoid wire current (A):3.8688704832022, 2st Solenoid wire current (A):5.0053807842616
ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
1,1004.966544363,-0.072951630775148,-0.046906431120076,2385.0851127475,0.13230073794759,0.071441369970602
2,1004.9858824674,-0.066649549338159,0.28110356497311,2385.1654647703,2.358589544903,-9.8590168128344
3,1004.9915127015,-0.12755162307701,0.53398384728417,2385.3931287371,4.6495141180275,-19.35621905619
4,1004.9002191012,-0.17556780537395,0.73022765339733,2385.7935322603,6.7620556700576,-28.104277500322
5,1004.977650259,-0.19962326834528,0.82990078172948,2386.3930560148,8.5739555742539,-35.586345384738
6,1004.9099608389,-0.18924354668698,0.7842608476816,2387.2374837237,9.9115912807889,-41.058214811091
7,1004.9236084316,-0.12290489317416,0.50764333718135,2388.4108101807,10.505329924193,-43.391172728328
8,1004.9687466525,0.041575564512354,-0.17102857884694,2390.0256490574,9.825298248356,-40.418840664991
9,1004.9903881956,0.46445408915033,-1.8735084445617,2392.3499161393,6.1213111597767,-24.694794864188
10,47.483364753957,-6.7226814395254,6.1288293932706e-06,1669.5080244854,-288.43511442874,0.00078158952825106
